year,title,total,budget,studio
1998,Lost in Space,69.12,80,New Line
1998,A Perfect Murder,67.64,,Warner Brothers
1998,Parent Trap,66.3,,Disney
1998,Ever After,65.71,26,20th Century Fox
1998,Hope Floats,60.05,30,20th Century Fox
1998,Life is Beautiful,57.25,,Miramax
1998,US Marshals,57.17,60,Warner Brothers
1998,The Man in the Iron Mask,56.97,35,MGM
1998,A Civil Action,56.71,60,Paramount
1998,Snake Eyes,55.59,73,Paramount
1998,What Dreams Come,55.38,85,PolyGram
1998,Halloween H20,55.04,17,Disney
1998,Small Soldiers,54.68,40,DreamWorks
1998,T-Rex,53.13,,IMAX
1998,Mighty Joe Young,50.63,49,Disney
1998,Practical Magic,46.68,,Warner Brothers
1998,The Negotiator,44.71,50,Warner Brothers
1998,Meet Joe Black,44.65,90,Universal
1998,Ronin,41.61,55,MGM
1998,The Siege,40.93,70,20th Century Fox
1998,Mysteries of Egypt,40.59,,IMAX
1998,Pleasantville,40.58,40,New Line
1998,The Faculty,40.28,15,Dimension
1998,I Still Know ,40.02,24,Columbia
1998,Primary Colors,39.02,65,Universal
1998,Urban Legend,38.12,14,TriStar
1999,The Phantom Menace,473.307,133,20th Century Fox
1999,The Sixth Sense,293.506,55,Disney
1999,Toy Story 2,245.852,90,Pixar
1999,Austin Powers 2,205.445,33,New Line
1999,The Matrix,171.48,63,Warner Brothers
1999,Tarzan,171.085,150,Disney
1999,Big Daddy,163.48,34.2,Columbia
1999,The Mummy,155.248,76,Universal
1999,Runaway Bride,152.15,70,Paramount
1999,Blair Witch,140.53,0,Artisan
1999,Stuart Little,140.02,103,Columbia
1999,The Green Mile,136.8,60,Warner Brothers
1999,American Beauty,130.06,15,DreamWorks
1999,The World Is Not Enough,126.93,135,United Artists
1999,Double Jeopardy,116.74,40,Paramount
1999,Notting Hill,116.01,42,Universal
1999,Wild Wild West,113.81,170,Warner Brothers
1999,Analyze This,106.69,30,Warner Brothers
1999,The General's Daughter,102.68,60,Paramount
